key,year,party,grafTotal,grafWomen,wordTotal,wordWomen,percentWord
Republican Party Platform of 1904,1904,Republican,46,0,2258,0,0
Republican Party Platform of 1908,1908,Republican,105,2,4125,22,0.005333333333333333
Republican Party Platform of 1912,1912,Republican,99,1,3420,18,0.005263157894736842
Republican Party Platform of 1916,1916,Republican,82,4,2400,54,0.0225
Republican Party Platform of 1920,1920,Republican,183,9,6431,248,0.03856320945420619
Republican Party Platform of 1924,1924,Republican,148,4,5253,59,0.011231677136874167
Republican Party Platform of 1928,1928,Republican,185,4,7437,129,0.01734570391286809
Republican Party Platform of 1932,1932,Republican,251,0,7877,0,0
Republican Party Platform of 1936,1936,Republican,135,6,3049,63,0.020662512299114463
Republican Party Platform of 1940,1940,Republican,141,5,3314,27,0.008147254073627036
2008 Democratic Party Platform,2008,Democratic,352,39,25945,1192,0.04594334168433224
2008 Republican Party Platform,2008,Republican,532,28,23814,1160,0.04871084236163601
